featurecla,scalerank,LABELRANK,SOVEREIGNT,SOV_A3,ADM0_DIF,LEVEL,TYPE,TLC,ADMIN,ADM0_A3,GEOU_DIF,GEOUNIT,GU_A3,SU_DIF,SUBUNIT,SU_A3,BRK_DIFF,NAME,NAME_LONG,BRK_A3,BRK_NAME,BRK_GROUP,ABBREV,POSTAL,FORMAL_EN,FORMAL_FR,NAME_CIAWF,NOTE_ADM0,NOTE_BRK,NAME_SORT,NAME_ALT,MAPCOLOR7,MAPCOLOR8,MAPCOLOR9,MAPCOLOR13,POP_EST,POP_RANK,POP_YEAR,GDP_MD,GDP_YEAR,ECONOMY,INCOME_GRP,FIPS_10,ISO_A2,ISO_A2_EH,ISO_A3,ISO_A3_EH,ISO_N3,ISO_N3_EH,UN_A3,WB_A2,WB_A3,WOE_ID,WOE_ID_EH,WOE_NOTE,ADM0_ISO,ADM0_DIFF,ADM0_TLC,ADM0_A3_US,ADM0_A3_FR,ADM0_A3_RU,ADM0_A3_ES,ADM0_A3_CN,ADM0_A3_TW,ADM0_A3_IN,ADM0_A3_NP,ADM0_A3_PK,ADM0_A3_DE,ADM0_A3_GB,ADM0_A3_BR,ADM0_A3_IL,ADM0_A3_PS,ADM0_A3_SA,ADM0_A3_EG,ADM0_A3_MA,ADM0_A3_PT,ADM0_A3_AR,ADM0_A3_JP,ADM0_A3_KO,ADM0_A3_VN,ADM0_A3_TR,ADM0_A3_ID,ADM0_A3_PL,ADM0_A3_GR,ADM0_A3_IT,ADM0_A3_NL,ADM0_A3_SE,ADM0_A3_BD,ADM0_A3_UA,ADM0_A3_UN,ADM0_A3_WB,CONTINENT,REGION_UN,SUBREGION,REGION_WB,NAME_LEN,LONG_LEN,ABBREV_LEN,TINY,HOMEPART,MIN_ZOOM,MIN_LABEL,MAX_LABEL,LABEL_X,LABEL_Y,NE_ID,WIKIDATAID,NAME_AR,NAME_BN,NAME_DE,NAME_EN,NAME_ES,NAME_FA,NAME_FR,NAME_EL,NAME_HE,NAME_HI,NAME_HU,NAME_ID,NAME_IT,NAME_JA,NAME_KO,NAME_NL,NAME_PL,NAME_PT,NAME_RU,NAME_SV,NAME_TR,NAME_UK,NAME_UR,NAME_VI,NAME_ZH,NAME_ZHT,FCLASS_ISO,TLC_DIFF,FCLASS_TLC,FCLASS_US,FCLASS_FR,FCLASS_RU,FCLASS_ES,FCLASS_CN,FCLASS_TW,FCLASS_IN,FCLASS_NP,FCLASS_PK,FCLASS_DE,FCLASS_GB,FCLASS_BR,FCLASS_IL,FCLASS_PS,FCLASS_SA,FCLASS_EG,FCLASS_MA,FCLASS_PT,FCLASS_AR,FCLASS_JP,FCLASS_KO,FCLASS_VN,FCLASS_TR,FCLASS_ID,FCLASS_PL,FCLASS_GR,FCLASS_IT,FCLASS_NL,FCLASS_SE,FCLASS_BD,FCLASS_UA,geometry,country,lon,lat
Admin-0 country,1,2,Mexico,MEX,0,2,Sovereign country,1,Mexico,MEX,0,Mexico,MEX,0,Mexico,MEX,0,Mexico,Mexico,MEX,Mexico,,Mex.,MX,United Mexican States,,Mexico,,,Mexico,,6,1,7,3,127575529.0,17,2019,1268870,2019,4. Emerging region: MIKT,3. Upper middle income,MX,MX,MX,MEX,MEX,484,484,484,MX,MEX,23424900,23424900,Exact WOE match as country,MEX,,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,-99,-99,North America,Americas,Central America,Latin America & Caribbean,6,6,4,-99,1,0.0,2.0,6.7,-102.289448,23.919988,1159321055,Q96,المكسيك,মেক্সিকো,Mexiko,Mexico,México,مکزیک,Mexique,Μεξικό,מקסיקו,मेक्सिको,Mexikó,Meksiko,Messico,メキシコ,멕시코,Mexico,Meksyk,México,Мексика,Mexiko,Meksika,Мексика,میکسیکو,México,墨西哥,墨西哥,Admin-0 country,,Admin-0 country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-117.12775999999985 32.53533999999996, -115.99134999999995 32.61239000000012, -114.72138999999993 32.72082999999992, -114.815 32.52528000000001, -113.30498 32.03914000000009, -111.02361000000002 31.334719999999948, -109.03500000000003 31.341940000000136, -108.24193999999994 31.342220000000054, -108.24000000000001 31.754853718166373, -106.50758999999988 31.754520000000014, -106.1429 31.399950000000047, -105.63159000000002 31.08383000000009, -105.03737000000001 30.644019999999955, -104.70574999999997 30.121730000000014, -104.4569699999999 29.571960000000047, -103.94 29.27000000000004, -103.11000000000001 28.970000000000027, -102.48000000000002 29.75999999999999, -101.66239999999999 29.77930000000009, -100.95759999999996 29.380710000000136, -100.45584000000002 28.69612000000012, -100.10999999999996 28.110000000000127, -99.51999999999992 27.54000000000002, -99.30000000000001 26.840000000000032, -99.01999999999992 26.37000000000006, -98.23999999999995 26.06000000000006, -97.52999999999992 25.84000000000009, -97.14000830767071 25.8699974634784, -97.52807247596655 24.9921440699203, -97.70294552284224 24.272343044526735, -97.77604183631905 22.93257986092766, -97.87236670611111 22.44421173755336, -97.69904395220419 21.898689480064263, -97.38895952023677 21.411018988525825, -97.18933346229329 20.635433254473128, -96.52557552772032 19.890930894444068, -96.29212724484177 19.320371405509547, -95.90088497595997 18.82802419684873, -94.83906348344271 18.562717393462208, -94.42572953975622 18.144370835843347, -93.5486512926824 18.423836981677937, -92.7861138577835 18.52483856859226, -92.0373481920904 18.704569200103435, -91.40790340855926 18.87608327888023, -90.77186987991087 19.28412038825678, -90.53358985061305 19.8674181177513, -90.45147599970124 20.707521877520435, -90.2786183336849 20.999855454995554, -89.60132117385149 21.26172577563449, -88.54386633986286 21.49367544197662, -87.65841651075772 21.45884552661198, -87.05189022494807 21.5435431991383, -86.81198238803296 21.331514797444754, -86.84590796583262 20.849864610268355, -87.38329118523586 20.25540477139873, -87.62105445021075 19.64655304613592, -87.43675045444178 19.47240346931227, -87.58656043165593 19.04013011319074, -87.83719112827151 18.25981598558343, -88.09066402866318 18.51664785407405, -88.3000310940937 18.4999822046599, -88.49012285027935 18.486830552641607, -88.84834387892661 17.883198147040233, -89.02985734735182 18.001511338772488, -89.15090938999553 17.95546763760042, -89.14308041050333 17.808318996649405, -90.06793351923098 17.819326076727478, -91.00151994501596 17.81759491624571, -91.00226925328421 17.25465770107418, -91.45392127151516 17.252177232324172, -91.08167009150065 16.918476670799407, -90.71182186558772 16.687483018454728, -90.60084672724093 16.47077789963879, -90.43886695022204 16.410109768128095, -90.46447262242266 16.069562079324655, -91.74796017125595 16.066564846251765, -92.2292486234063 15.251446641495875, -92.08721594925207 15.064584662328441, -92.20322953974733 14.830102850804069, -92.22775000686983 14.538828640190928, -93.35946387406176 15.615429592343673, -93.87516883011853 15.940164292865916, -94.69165646033014 16.200975246642884, -95.25022701697304 16.128318182840644, -96.05338212765332 15.752087917539598, -96.55743404822829 15.653515122942792, -97.26359249549665 15.917064927631316, -98.01302995480961 16.107311713113916, -98.94767574745651 16.566043402568766, -99.69739742714705 16.70616404872817, -100.82949886758132 17.17107107184205, -101.66608862995446 17.649026394109626, -101.91852800170022 17.916090196193977, -102.47813208698892 17.975750637275098, -103.50098954955808 18.29229462327885, -103.91752743204682 18.74857168220001, -104.9920096504755 19.316133938061682, -105.49303849976144 19.946767279535436, -105.73139604370766 20.434101874264115, -105.39777299683135 20.531718654863425, -105.50066077352443 20.81689504646613, -105.27075232625793 21.07628489835514, -105.26581722697404 21.42210358325235, -105.6031609769754 21.87114594165257, -105.69341386597313 22.269080308516152, -106.02871639689897 22.773752346278627, -106.90998043498837 23.767774359628902, -107.91544877809139 24.54891531015295, -108.40190487347098 25.172313951105934, -109.26019873740665 25.58060944264406, -109.44408932171734 25.82488393808768, -109.29164384645628 26.442934068298428, -109.80145768923182 26.676175645447927, -110.3917317370857 27.16211497650454, -110.64101884646163 27.859876003525528, -111.17891883018785 27.94124054616907, -111.75960689985163 28.46795258230395, -112.2282346260904 28.95440867768349, -112.27182369672869 29.266844387320077, -112.80959448937398 30.02111359305235, -113.16381059451868 30.786880804969428, -113.14866939985717 31.170965887978923, -113.87188106978186 31.567608344035193, -114.20573666060352 31.524045111613134, -114.77645117883503 31.79953217216115, -114.93669979537214 31.393484605427602, -114.7712318591735 30.913617255165263, -114.67389929895177 30.162681179315996, -114.33097449426293 29.750432440707414, -113.58887508833544 29.061611436473015, -113.42405310754054 28.82617361095123, -113.27196936730553 28.7547826197399, -113.14003943566439 28.41128937429596, -112.9622983467965 28.42519033458251, -112.76158708377488 27.780216783147523, -112.45791052941166 27.52581370697476, -112.2449519519368 27.17172679291076, -111.61648902061921 26.662817287700477, -111.28467464887302 25.732589830014433, -110.9878193835724 25.294606228124564, -110.71000688357134 24.82600434010186, -110.65504899782889 24.298594672131117, -110.17285620811344 24.265547593680424, -109.77184709352855 23.811182562754198, -109.40910437705571 23.36467234953625, -109.43339230023292 23.1855876734287, -109.85421932660171 22.818271592698068, -110.03139197471444 22.823077500901206, -110.29507097048366 23.43097321216669, -110.94950130902805 24.000964260345995, -111.6705684070127 24.484423122652515, -112.18203589562148 24.738412787367167, -112.14898881717085 25.47012523040405, -112.3007108223797 26.012004299416617, -112.77729671919155 26.32195954030317, -113.46467078332194 26.768185533143424, -113.59672990604383 26.639459540304472, -113.84893673384425 26.90006378835244, -114.46574662968004 27.142090358991368, -115.05514217818501 27.72272675222291, -114.98225257043742 27.798200181585116, -114.57036556685495 27.74148529714489, -114.19932878299926 28.115002549750557, -114.16201839888464 28.566111965442303, -114.93184221073665 29.27947927501549, -115.518653937627 29.5563615992354, -115.88736528202958 30.180793768834178, -116.25835038945291 30.836464341753583, -116.72152625208497 31.635743720012044, -117.12775999999985 32.53533999999996))",Mexico,-99.1332,19.4326
Admin-0 country,1,2,Brazil,BRA,0,2,Sovereign country,1,Brazil,BRA,0,Brazil,BRA,0,Brazil,BRA,0,Brazil,Brazil,BRA,Brazil,,Brazil,BR,Federative Republic of Brazil,,Brazil,,,Brazil,,5,6,5,7,211049527.0,17,2019,1839758,2019,3. Emerging region: BRIC,3. Upper middle income,BR,BR,BR,BRA,BRA,076,076,076,BR,BRA,23424768,23424768,Exact WOE match as country,BRA,,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,-99,-99,South America,Americas,South America,Latin America & Caribbean,6,6,6,-99,1,0.0,1.7,5.7,-49.55945,-12.098687,1159320441,Q155,البرازيل,ব্রাজিল,Brasilien,Brazil,Brasil,برزیل,Brésil,Βραζιλία,ברזיל,ब्राज़ील,Brazília,Brasil,Brasile,ブラジル,브라질,Brazilië,Brazylia,Brasil,Бразилия,Brasilien,Brezilya,Бразилія,برازیل,Brasil,巴西,巴西,Admin-0 country,,Admin-0 country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-53.373661668498244 -33.768377780900764, -53.6505439927181 -33.20200408298183, -53.209588995971544 -32.727666110974724, -53.78795162618219 -32.047242526987624, -54.57245154480512 -31.494511407193748, -55.601510179249345 -30.853878676071393, -55.97324459494094 -30.883075860316303, -56.976025763564735 -30.109686374636127, -57.62513342958296 -30.21629485445426, -56.29089962423908 -28.852760512000895, -55.16228634298457 -27.881915378533463, -54.490725267135524 -27.47475676850579, -53.64873531758789 -26.92347258881609, -53.628348965048744 -26.124865004177472, -54.13004960795439 -25.547639255477254, -54.625290696823576 -25.739255466415514, -54.42894609233059 -25.162184747012166, -54.29347632507745 -24.570799655863965, -54.29295956075452 -24.02101409271073, -54.65283423523513 -23.83957813893396, -55.02790178080955 -24.00127369557523, -55.40074723979542 -23.956935316668805, -55.517639329639636 -23.571997572526637, -55.610682745981144 -22.655619398694846, -55.79795813660691 -22.356929620047822, -56.47331743022939 -22.086300144135283, -56.8815095689029 -22.28215382252148, -57.937155727761294 -22.090175876557172, -57.8706739976178 -20.73268767668195, -58.166392381408045 -20.176700941653678, -57.85380164247451 -19.96999521248619, -57.949997321185826 -19.40000416430682, -57.67600887717431 -18.96183969490403, -57.49837114117099 -18.174187513911292, -57.734558274961 -17.55246835700777, -58.28080400250225 -17.271710300366017, -58.38805843772404 -16.877109063385276, -58.24121985536668 -16.299573256091293, -60.158389655179036 -16.258283786690086, -60.54296566429515 -15.093910414289596, -60.251148851142936 -15.07721892665932, -60.26432634137737 -14.645979099183641, -60.45919816755003 -14.354007256734555, -60.503304002511136 -13.775954685117659, -61.08412126325565 -13.479383640194598, -61.71320431176078 -13.489202162330052, -62.127080857986385 -13.198780612849724, -62.803060268796386 -13.000653171442686, -63.19649878605057 -12.627032565972435, -64.3163529120316 -12.461978041232193, -65.40228146021303 -11.566270440317155, -65.32189876978302 -10.895872084194679, -65.44483700220539 -10.511451104375432, -65.33843522811642 -9.761987806846392, -66.6469083319628 -9.931331475466862, -67.17380123561074 -10.306812432499612, -68.04819230820539 -10.712059014532485, -68.27125362819326 -11.01452117273682, -68.78615759954948 -11.03638030359628, -69.52967810736496 -10.951734307502194, -70.0937522040469 -11.123971856331012, -70.54868567572841 -11.009146823778465, -70.48189388699117 -9.490118096558845, -71.30241227892154 -10.079436130415374, -72.18489071316985 -10.053597914269432, -72.56303300646564 -9.520193780152717, -73.22671342639016 -9.462212823121234, -73.01538265653255 -9.032833347208062, -73.57105933296707 -8.424446709835834, -73.98723548042966 -7.523829847853065, -73.7234014553635 -7.340998630404414, -73.72448666044164 -6.91859547285064, -73.1200274319236 -6.629930922068239, -73.21971126981461 -6.089188734566078, -72.9645072089412 -5.7412513159448935, -72.89192765978726 -5.274561455916981, -71.74840572781655 -4.593982842633011, -70.92884334988358 -4.401591485210368, -70.7947688463023 -4.251264743673303, -69.89363521999663 -4.2981869441943275, -69.44410193548961 -1.5562871232198177, -69.42048580593223 -1.1226185034264091, -69.5770653957766 -0.549991957200163, -70.02065589057005 -0.1851563452195393, -70.01556576198931 0.5414142928042054, -69.45239600287246 0.7061587589506929, -69.25243404811906 0.6026508650700748, -69.21863766140018 0.9856765812174331, -69.80459672715773 1.0890811222334662, -69.81697323269162 1.7148052026396243, -67.86856502955884 1.6924551456733923, -67.5378100246747 2.03716278727633, -67.2599975246736 1.7199986840849562, -67.0650481838525 1.130112209473225, -66.87632585312258 1.253360500489336, -66.32576514348496 0.7244522159820121, -65.54826738143757 0.7892544620760303, -65.35471330428837 1.0952822941085003, -64.61101192895987 1.3287305769870417, -64.19930579289051 1.49285492594602, -64.08308549666609 1.9163691267940803, -63.368788011311665 2.200899562993129, -63.42286739770512 2.4110676131241746, -64.2699991522658 2.497005520025567, -64.40882788761792 3.126786200366624, -64.3684944322141 3.797210394705246, -64.81606401229402 4.056445217297423, -64.62865943058755 4.14848094320925, -63.88834286157416 4.020530096854571, -63.093197597899106 3.7705711938587854, -62.804533047116706 4.006965033377952, -62.08542965355913 4.162123521334308, -60.96689327660154 4.536467596856639, -60.601179165271944 4.91809804933213, -60.73357418480372 5.200277207861901, -60.21368343773133 5.244486395687602, -59.980958624904886 5.014061184098139, -60.11100236676738 4.574966538914083, -59.767405768458715 4.423502915866607, -59.53803992373123 3.9588025984819377, -59.815413174057866 3.6064985213320853, -59.97452490908456 2.755232652188056, -59.71854570172675 2.2496304386443597, -59.64604366722126 1.786893825686789, -59.03086157900265 1.3176976586927225, -58.540012986878295 1.2680882836925207, -58.429477098205965 1.4639419620787208, -58.11344987652502 1.5071951359070253, -57.66097103537737 1.6825849471056387, -57.335822923396904 1.9485377058957594, -56.78270423036083 1.8637108422886541, -56.539385748914555 1.8995226098669207, -55.995698004771754 1.8176671411166012, -55.905600145070885 2.0219957543986595, -56.0733418442903 2.2207949894254995, -55.973322109589375 2.510363877773017, -55.569755011606 2.4215062524471307, -55.09758744975514 2.5237480737366127, -54.524754197799716 2.3118488631237852, -54.08806250671725 2.105556545414629, -53.77852067728892 2.3767027856500818, -53.554839240113544 2.334896551925951, -53.41846513529531 2.0533891870159806, -52.939657151894956 2.1248576928756364, -52.55642473001842 2.504705308437053, -52.249337531123956 3.241094468596245, -51.65779741067889 4.156232408053029, -51.31714636901086 4.203490505383954, -51.069771287629656 3.650397650564031, -50.508875291533656 1.901563828942457, -49.97407589374506 1.736483465986069, -49.94710079608871 1.0461896834312228, -50.699251268096916 0.2229841170216815, -50.38821082213214 -0.0784445125368194, -48.62056677915632 -0.2354891902718208, -48.58449662941659 -1.2378052710050014, -47.824956427590635 -0.5816179337628, -46.566583624851226 -0.941027520352776, -44.905703090990414 -1.551739597178134, -44.417619187993665 -2.137750339367976, -44.58158850765578 -2.691308282078524, -43.418791266440195 -2.383110039889793, -41.47265682632825 -2.9120183243971165, -39.97866533055404 -2.873054294449041, -38.50038347019657 -3.7006523576033956, -37.2232521225352 -4.820945733258917, -36.45293738457639 -5.109403578312154, -35.59779578301047 -5.149504489770649, -35.23538896334756 -5.464937432480247, -34.89602983248683 -6.738193047719711, -34.729993455533034 -7.343220716992967, -35.12821204277422 -8.996401462442286, -35.636966518687714 -9.649281508017815, -37.046518724097 -11.040721123908803, -37.68361161960736 -12.171194756725823, -38.42387651218844 -13.038118584854288, -38.67388709161652 -13.057652276260619, -38.953275722802545 -13.793369642800023, -38.88229814304965 -15.667053724838768, -39.16109249526431 -17.208406670808472, -39.2673392400564 -17.867746270420483, -39.58352149103423 -18.262295830968938, -39.76082333022764 -19.59911345792741, -40.77474077001034 -20.904511814052423, -40.94475623225061 -21.93731698983781, -41.754164191238225 -22.370675551037458, -41.98828426773656 -22.970070489190896, -43.07470374202475 -22.96769337330547, -44.64781185563781 -23.351959323827842, -45.35213578955992 -23.796841729428582, -46.47209326840554 -24.088968601174543, -47.64897233742066 -24.885199069927722, -48.4954581365777 -25.877024834905654, -48.64100480812774 -26.623697605090932, -48.474735887228654 -27.17591196056189, -48.661520351747626 -28.18613453543572, -48.8884574041574 -28.674115085567884, -49.587329474472675 -29.224469089476337, -50.696874152211485 -30.98446502047296, -51.576226162306156 -31.77769825615321, -52.256081305538046 -32.24536996839467, -52.712099982297694 -33.19657805759118, -53.373661668498244 -33.768377780900764))",Brazil,-47.8825,-15.7975
Admin-0 country,1,2,South Korea,KOR,0,2,Sovereign country,1,South Korea,KOR,0,South Korea,KOR,0,South Korea,KOR,0,South Korea,Republic of Korea,KOR,Republic of Korea,,S.K.,KR,Republic of Korea,,"Korea, South",,,"Korea, Rep.",,4,1,1,5,51709098.0,16,2019,1646739,2019,4. Emerging region: MIKT,1. High income: OECD,KS,KR,KR,KOR,KOR,410,410,410,KR,KOR,23424868,23424868,Exact WOE match as country,KOR,,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,-99,-99,Asia,Asia,Eastern Asia,East Asia & Pacific,11,17,4,-99,1,0.0,2.5,7.0,128.129504,36.384924,1159320985,Q884,كوريا الجنوبية,দক্ষিণ কোরিয়া,Südkorea,South Korea,Corea del Sur,کره جنوبی,Corée du Sud,Νότια Κορέα,קוריאה הדרומית,दक्षिण कोरिया,Dél-Korea,Korea Selatan,Corea del Sud,大韓民国,대한민국,Zuid-Korea,Korea Południowa,Coreia do Sul,Республика Корея,Sydkorea,Güney Kore,Південна Корея,جنوبی کوریا,Hàn Quốc,大韩民国,大韓民國,Admin-0 country,,Admin-0 country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((126.17475874237624 37.74968577732804, 126.23733890188176 37.84037791600028, 126.68371992401893 37.80477285415118, 127.07330854706737 38.2561148137884, 127.78003543509101 38.30453563084589, 128.20574588431145 38.37039724380189, 128.34971642467661 38.61224294692785, 129.21291954968007 37.43239248305595, 129.46044966035817 36.78418915460283, 129.4683044780665 35.63214061130395, 129.0913765809296 35.082484239231434, 128.1858504578791 34.89037710218639, 127.3865194031884 34.47567373304412, 126.48574751190876 34.39004588473648, 126.37391971242914 34.934560451795946, 126.55923139862779 35.6845405136479, 126.11739790253229 36.72548472751926, 126.86014326386339 36.893924058574626, 126.17475874237624 37.74968577732804))",South Korea,126.978,37.5665
Admin-0 country,1,2,India,IND,0,2,Sovereign country,1,India,IND,0,India,IND,0,India,IND,0,India,India,IND,India,,India,IND,Republic of India,,India,,,India,,1,3,2,2,1366417754.0,18,2019,2868929,2019,3. Emerging region: BRIC,4. Lower middle income,IN,IN,IN,IND,IND,356,356,356,IN,IND,23424848,23424848,Exact WOE match as country,IND,,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,-99,-99,Asia,Asia,Southern Asia,South Asia,5,5,5,-99,1,0.0,1.7,6.7,79.358105,22.686852,1159320847,Q668,الهند,ভারত,Indien,India,India,هند,Inde,Ινδία,הודו,भारत,India,India,India,インド,인도,India,Indie,Índia,Индия,Indien,Hindistan,Індія,بھارت,Ấn Độ,印度,印度,Admin-0 country,,Admin-0 country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((97.32711388549004 28.26158274994634, 97.40256147663614 27.882536119085444, 97.0519885599681 27.69905894623315, 97.1339990580153 27.083773505149964, 96.41936567585097 27.264589341739224, 95.12476769407496 26.5735720891323, 95.1551534362626 26.001307277932085, 94.60324913938538 25.162495428970402, 94.55265791217164 24.675238348890336, 94.10674197792507 23.85074087167348, 93.3251876159428 24.078556423432204, 93.28632693885928 23.043658352139005, 93.06029422401463 22.70311066333557, 93.16612755734837 22.278459580977103, 92.67272098182556 22.041238918541254, 92.14603478390681 23.627498684172593, 91.86992760617132 23.624346421802784, 91.70647505083211 22.985263983649187, 91.15896325069973 23.50352692310439, 91.46772993364368 24.072639471934792, 91.91509280799443 24.130413723237112, 92.37620161333481 24.976692816664965, 91.79959598182208 25.147431748957317, 90.87221072791212 25.132600612889547, 89.92069258012185 25.26974986419218, 89.83248091019962 25.96508209889548, 89.35509402868729 26.014407253518073, 88.56304935094977 26.446525580342723, 88.2097892598025 25.768065700782714, 88.93155398962308 25.238692328384776, 88.30637251175602 24.866079413344206, 88.08442223506242 24.501657212821925, 88.69994022009092 24.23371491138856, 88.52976972855379 23.631141872649167, 88.87631188350309 22.87914642993783, 89.03196129756623 22.055708319582976, 88.88876590368542 21.690588487224748, 88.20849734899522 21.703171698487807, 86.97570438024027 21.49556163175521, 87.03316857294887 20.743307806882413, 86.49935102737379 20.151638495356607, 85.0602657409097 19.4785788029711, 83.94100589390001 18.302009792549725, 83.18921715691785 17.67122142177898, 82.19279218946592 17.016636053937816, 82.19124189649719 16.556664130107848, 81.69271935417748 16.310219224507904, 80.79199913933014 15.951972357644493, 80.32489586784388 15.89918488205835, 80.02506920768644 15.136414903214147, 80.2332735533904 13.835770778859981, 80.28629357292186 13.006260687710835, 79.8625468281285 12.056215318240888, 79.85799930208682 10.35727509199711, 79.340511509116 10.30885427493962, 78.88534549348918 9.546135972527722, 79.1897196796883 9.216543687370148, 78.2779407083305 8.933046779816934, 77.94116539908435 8.252959092639742, 77.53989790233794 7.965534776232332, 76.59297895702167 8.89927623131419, 76.13006147655108 10.299630031775521, 75.7464673196485 11.308250637248307, 75.39610110870959 11.781245022015824, 74.86481570831683 12.741935736537897, 74.61671715688354 13.99258291264968, 74.44385949086723 14.617221787977698, 73.5341992532334 15.99065216721496, 73.11990929554943 17.928570054592498, 72.82090945830865 19.208233547436166, 72.8244751321368 20.419503282141534, 72.6305334817454 21.356009426351008, 71.17527347197395 20.757441311114235, 70.4704586119451 20.877330634031384, 69.16413008003883 22.0892980005727, 69.6449276060824 22.450774644454338, 69.34959679553435 22.84317963306269, 68.1766451353734 23.69196503345671, 68.84259931831878 24.35913361256094, 71.04324018746823 24.3565239527302, 70.84469933460284 25.21510203704352, 70.2828731627256 25.72222870533983, 70.16892662952202 26.491871649678842, 69.51439293811313 26.940965684511372, 70.61649620960193 27.989196275335868, 71.77766564320032 27.913180243434525, 72.8237516620847 28.961591701772054, 73.45063846221743 29.97641347911987, 74.42138024282028 30.979814764931177, 74.40592898956501 31.69263947196528, 75.25864179881322 32.2711054550405, 74.45155927927871 32.7648996038055, 74.10429365427734 33.44147329358685, 73.74994835805197 34.31769887952785, 74.24020267120497 34.748887030571254, 75.75706098826834 34.50492259372132, 76.87172163280403 34.65354401299274, 77.83745079947457 35.494009507787766, 78.91226891471322 34.32193634697579, 78.81108646028574 33.50619802503242, 79.20889163606859 32.994394639613716, 79.17612877799553 32.48377981213771, 78.45844648632601 32.61816437431273, 78.73889448437401 31.515906073527063, 79.7213668151071 30.88271474865473, 81.11125613802932 30.183480943313402, 80.4767212259174 29.72986522065534, 80.08842451367627 28.79447011974014, 81.05720258985203 28.416095282499043, 81.99998742058497 27.925479234319994, 83.30424889519955 27.36450572357556, 84.6750179381738 27.234901231387536, 85.25177859898338 26.726198431906344, 86.02439293817918 26.63098460540857, 87.2274719583663 26.397898057556077, 88.06023766474982 26.41461538340249, 88.17480431514092 26.81040517832595, 88.04313276566123 27.445818589786825, 88.12044070836987 27.876541652939594, 88.73032596227856 28.086864732367516, 88.81424848832056 27.299315904239364, 88.83564253128938 27.098966376243762, 89.74452762243885 26.719402981059957, 90.37327477413407 26.87572418874288, 91.21751264848643 26.808648179628022, 92.03348351437509 26.83831045176356, 92.10371178585974 27.452614040633208, 91.69665652869668 27.771741848251665, 92.50311893104364 27.89687632904645, 93.41334760943269 28.640629380807226, 94.56599043170294 29.277438055939985, 95.40480228066464 29.03171662039213, 96.11767866413103 29.452802028922466, 96.58659061074749 28.83097951915434, 96.24883344928779 28.411030992134442, 97.32711388549004 28.26158274994634))",India,77.209,28.6139
