country_code,name,crypto,interest_mean,interest_std,interest_max,volatility_7d_mean,volatility_7d_std,volatility_30d_mean,volatility_30d_std,returns_mean,returns_std,Close_mean,Close_min,Close_max
BR,Brazil,BNB,2.5938697318007664,1.7085195926150636,14,0.0333106357414554,0.027783066065557745,0.035329449336714454,0.02408881265553144,0.001959500167992425,0.029696157208028748,418.1041850824466,27.62103080749512,1165.527587890625
BR,Brazil,Bitcoin,39.91954022988506,15.631244640736945,100,0.027587892302158624,0.014502889813986702,0.028542387061892743,0.010509557772674557,0.0014646254223748844,0.023773510423926766,51045.075636823516,11483.359375,123513.4765625
BR,Brazil,Ethereum,4.712643678160919,2.288304945269845,14,0.03646169201761992,0.019973355793139656,0.03799814965630113,0.014931131436123202,0.0028238457765695875,0.03566971940431699,2417.0116343297263,378.2136840820313,4779.6474609375
BR,Brazil,Solana,0.9693486590038314,1.0409958051937036,5,0.05303766074279975,0.03057996026603088,0.0557091765465562,0.02347235412797373,0.005564012858669013,0.054302451025874714,92.64089453129019,1.3030420541763306,252.9195251464844
BR,Brazil,Tether,0.0,0.0,0,0.0003916973327406312,0.0004726634294711671,0.0004343199720778726,0.000421205496226732,-8.345955406310199e-05,0.0007894452351619365,1.000196708344865,0.9981480240821838,1.0071489810943604
CN,China,BNB,3.842911877394636,2.75580463398008,15,0.0333106357414554,0.027783066065557745,0.035329449336714454,0.02408881265553144,0.001959500167992425,0.029696157208028748,418.1041850824466,27.62103080749512,1165.527587890625
CN,China,Bitcoin,26.015325670498083,15.154580254233121,100,0.027587892302158624,0.014502889813986702,0.028542387061892743,0.010509557772674557,0.0014646254223748844,0.023773510423926766,51045.075636823516,11483.359375,123513.4765625
CN,China,Ethereum,6.590038314176245,3.9938096809634205,27,0.03646169201761992,0.019973355793139656,0.03799814965630113,0.014931131436123202,0.0028238457765695875,0.03566971940431699,2417.0116343297263,378.2136840820313,4779.6474609375
CN,China,Solana,6.693486590038314,6.257757931991011,35,0.05303766074279975,0.03057996026603088,0.0557091765465562,0.02347235412797373,0.005564012858669013,0.054302451025874714,92.64089453129019,1.3030420541763306,252.9195251464844
CN,China,Tether,0.1111111111111111,0.6256620425221523,5,0.0003916973327406312,0.0004726634294711671,0.0004343199720778726,0.000421205496226732,-8.345955406310199e-05,0.0007894452351619365,1.000196708344865,0.9981480240821838,1.0071489810943604
DE,Germany,BNB,1.9118773946360152,0.4250483233913545,3,0.0333106357414554,0.027783066065557745,0.035329449336714454,0.02408881265553144,0.001959500167992425,0.029696157208028748,418.1041850824466,27.62103080749512,1165.527587890625
DE,Germany,Bitcoin,35.10344827586207,16.350277214369708,100,0.027587892302158624,0.014502889813986702,0.028542387061892743,0.010509557772674557,0.0014646254223748844,0.023773510423926766,51045.075636823516,11483.359375,123513.4765625
DE,Germany,Ethereum,6.670498084291188,3.6372341749281896,25,0.03646169201761992,0.019973355793139656,0.03799814965630113,0.014931131436123202,0.0028238457765695875,0.03566971940431699,2417.0116343297263,378.2136840820313,4779.6474609375
DE,Germany,Solana,1.789272030651341,2.0525874493558534,13,0.05303766074279975,0.03057996026603088,0.0557091765465562,0.02347235412797373,0.005564012858669013,0.054302451025874714,92.64089453129019,1.3030420541763306,252.9195251464844
DE,Germany,Tether,0.011494252873563218,0.10679810646152194,1,0.0003916973327406312,0.0004726634294711671,0.0004343199720778726,0.000421205496226732,-8.345955406310199e-05,0.0007894452351619365,1.000196708344865,0.9981480240821838,1.0071489810943604
GB,United Kingdom,BNB,7.9272030651340994,2.088076827938855,15,0.0333106357414554,0.027783066065557745,0.035329449336714454,0.02408881265553144,0.001959500167992425,0.029696157208028748,418.1041850824466,27.62103080749512,1165.527587890625
GB,United Kingdom,Bitcoin,27.00383141762452,14.895920475158281,100,0.027587892302158624,0.014502889813986702,0.028542387061892743,0.010509557772674557,0.0014646254223748844,0.023773510423926766,51045.075636823516,11483.359375,123513.4765625
GB,United Kingdom,Ethereum,5.2796934865900385,3.75222107325931,26,0.03646169201761992,0.019973355793139656,0.03799814965630113,0.014931131436123202,0.0028238457765695875,0.03566971940431699,2417.0116343297263,378.2136840820313,4779.6474609375
GB,United Kingdom,Solana,1.6245210727969348,1.1489176597899895,7,0.05303766074279975,0.03057996026603088,0.0557091765465562,0.02347235412797373,0.005564012858669013,0.054302451025874714,92.64089453129019,1.3030420541763306,252.9195251464844
GB,United Kingdom,Tether,0.9693486590038314,0.1936967224220405,2,0.0003916973327406312,0.0004726634294711671,0.0004343199720778726,0.000421205496226732,-8.345955406310199e-05,0.0007894452351619365,1.000196708344865,0.9981480240821838,1.0071489810943604
IN,India,BNB,1.5019157088122606,0.5234833115611743,3,0.0333106357414554,0.027783066065557745,0.035329449336714454,0.02408881265553144,0.001959500167992425,0.029696157208028748,418.1041850824466,27.62103080749512,1165.527587890625
IN,India,Bitcoin,18.632183908045977,10.904249287314277,100,0.027587892302158624,0.014502889813986702,0.028542387061892743,0.010509557772674557,0.0014646254223748844,0.023773510423926766,51045.075636823516,11483.359375,123513.4765625
IN,India,Ethereum,3.314176245210728,2.514754574271246,21,0.03646169201761992,0.019973355793139656,0.03799814965630113,0.014931131436123202,0.0028238457765695875,0.03566971940431699,2417.0116343297263,378.2136840820313,4779.6474609375
IN,India,Solana,0.8544061302681992,0.7953408387656382,5,0.05303766074279975,0.03057996026603088,0.0557091765465562,0.02347235412797373,0.005564012858669013,0.054302451025874714,92.64089453129019,1.3030420541763306,252.9195251464844
