Date,crypto,Open,High,Low,Close,Volume,returns,log_returns,volatility_7d,volatility_30d,returns_squared,price_normalized
2020-10-12,BNB,28.54990768432617,31.08211326599121,28.49144554138184,30.71468162536621,718406691,,,,,,0.003005890617318227
2020-10-13,BNB,30.670005798339844,31.765100479125977,30.2694034576416,30.70674514770508,600050050,-0.00025839361637969294,-0.0002584270057620452,,,6.676726098577592e-08,0.002999706464528547
2020-10-14,BNB,30.73881149291992,31.29753875732422,30.4619083404541,30.912118911743164,460297911,0.006688229672347168,0.006665962693577657,0.00491200443380716,0.00491200443380716,4.47324161500651e-05,0.0031597349797001582
2020-10-15,BNB,30.88991928100586,31.569292068481445,30.500120162963867,31.29586410522461,504135680,0.012414069529723015,0.012337646796655282,0.00634602420650294,0.00634602420650294,0.0001541091222887974,0.003458751622866375
2020-10-16,BNB,31.31403923034668,31.917165756225582,29.666963577270508,29.99489974975586,546849696,-0.041569849328798814,-0.04245859273431776,0.024480220241146742,0.024480220241146742,0.0017280523732190352,0.0024450320999664064
2020-10-17,BNB,30.04375648498535,30.555606842041016,29.71999168395996,30.24823570251465,377026508,0.008445967643577523,0.008410500024505543,0.022121886814163296,0.022121886814163296,7.133436943635846e-05,0.0026424330511027787
2020-10-18,BNB,30.24098777770996,30.996551513671875,30.221710205078125,30.659523010253903,440840685,0.013597067669803398,0.01350545703501501,0.020895442422939454,0.020895442422939454,0.0001848802492172128,0.0029629106811190336
2020-10-19,BNB,30.656213760375977,30.656213760375977,29.8570613861084,29.925067901611328,385913101,-0.023955203360369937,-0.02424679542599227,0.021096238045749272,0.021096238045749272,0.0005738517680366791,0.002390618689263243
2020-10-20,BNB,29.93031311035156,30.0800724029541,28.54344749450684,28.803443908691406,493774162,-0.037481084307231516,-0.038201560345497494,0.02454625612553272,0.022926931858102823,0.0014048316808457967,0.0015166422930642364
2020-10-21,BNB,28.81385040283203,30.38338279724121,28.70941734313965,29.77235412597656,510855830,0.03363869335752545,0.033085288869430296,0.029081829141924212,0.025503171071619556,0.001131561690801627,0.0022716231648078847
