Date,country,crypto,interest,country_code,iso3,name,region,lon,lat,Open,High,Low,Close,Volume,returns,log_returns,volatility_7d,volatility_30d,returns_squared,price_normalized
2020-12-27,US,Bitcoin,64,US,USA,United States,Americas,-77.0369,38.9072,26439.373046875,28288.83984375,25922.76953125,26272.294921875,66479895605,-0.0062314920850786715,-0.006250988870123867,0.037424013743477265,0.035784690701801014,3.883149360639813e-05,0.13180038855390563
2021-01-03,US,Bitcoin,97,US,USA,United States,Americas,-77.0369,38.9072,32129.408203125,34608.55859375,32052.31640625,32782.0234375,78665235202,0.020380066800975483,0.020175172403393154,0.03153881293501941,0.0341438824930179,0.00041534712281222306,0.18919001289491771
2021-01-10,US,Bitcoin,93,US,USA,United States,Americas,-77.0369,38.9072,40254.21875,41420.19140625,35984.62890625,38356.44140625,79980747690,-0.047152573214749416,-0.04830048595686678,0.051753314404785006,0.03778623751865747,0.002223365160772304,0.23833395989339484
2021-01-17,US,Bitcoin,58,US,USA,United States,Americas,-77.0369,38.9072,36163.6484375,36722.3515625,34069.3203125,35791.27734375,52359854336,-0.010693288117263444,-0.010750872199338055,0.06262721098220932,0.046129391696991096,0.00011434641075880758,0.2157195295732073
2021-01-24,US,Bitcoin,58,US,USA,United States,Americas,-77.0369,38.9072,32064.376953125,32944.0078125,31106.685546875,32289.37890625,48643830599,0.006914643868341619,0.006890847351743181,0.0623693180962418,0.0537736787373789,4.781229982599435e-05,0.18484686947284876
2021-01-31,US,Bitcoin,51,US,USA,United States,Americas,-77.0369,38.9072,34270.87890625,34288.33203125,32270.17578125,33114.359375,52754542671,-0.03370820328466961,-0.034289423389572346,0.051502862263814786,0.05659452543947543,0.0011362429686806114,0.19211987925760304
2021-02-07,US,Bitcoin,91,US,USA,United States,Americas,-77.0369,38.9072,39250.19140625,39621.8359375,37446.15234375,38903.44140625,65500641143,-0.009233693380855112,-0.009276588183404773,0.02891718533990232,0.05115710896932819,8.526109345164751e-05,0.24315629994017016
2021-02-14,US,Bitcoin,91,US,USA,United States,Americas,-77.0369,38.9072,47114.5078125,49487.640625,47114.5078125,48717.2890625,71248675228,0.03421623595697554,0.033643879906238475,0.07478451625470359,0.055233646138119166,0.0011707508030634258,0.3296749664222293
2021-02-21,US,Bitcoin,87,US,USA,United States,Americas,-77.0369,38.9072,56068.56640625,58330.5703125,55672.609375,57539.9453125,51897585191,0.025676258785917394,0.02535215971053203,0.035779218255543185,0.048459690202913436,0.0006592702652414001,0.4074553111266305
2021-02-28,US,Bitcoin,60,US,USA,United States,Americas,-77.0369,38.9072,46194.015625,46716.4296875,43241.6171875,45137.76953125,53443887451,-0.022747754528746222,-0.02301047656676125,0.039329275884012325,0.051816848184523936,0.0005174603361000942,0.2981180004555726
2021-03-07,US,Bitcoin,56,US,USA,United States,Americas,-77.0369,38.9072,48918.6796875,51384.3671875,48918.6796875,51206.69140625,43137459378,0.046906498146797926,0.0458396233606819,0.04789287139983183,0.05399904515844715,0.0022002195683955574,0.35162148308548696
2021-03-14,US,Bitcoin,53,US,USA,United States,Americas,-77.0369,38.9072,61221.1328125,61597.91796875,59302.31640625,59302.31640625,43901225564,-0.031689610370558396,-0.03220259265928875,0.03361688201162982,0.04337255067123417,0.0010042314054378022,0.4229923361772152
2021-03-21,US,Bitcoin,50,US,USA,United States,Americas,-77.0369,38.9072,58309.9140625,58767.8984375,56005.6171875,57523.421875,51943414539,-0.013551247955811196,-0.013643904139846409,0.029718567705266492,0.041300143833203205,0.00018363632115987714,0.40730964086270616
2021-03-28,US,Bitcoin,49,US,USA,United States,Americas,-77.0369,38.9072,55974.94140625,56610.3125,55071.11328125,55950.74609375,47686580918,-0.0004067213991215679,-0.0004068041327035923,0.03869935029781447,0.037111601322092604,1.6542229650340573e-07,0.39344496554183683
2021-04-04,US,Bitcoin,41,US,USA,United States,Americas,-77.0369,38.9072,57604.83984375,58913.74609375,57168.67578125,58758.5546875,50749662970,0.0200448971410081,0.019846643132378484,0.020060244016972494,0.03119038953452296,0.0004017979013935947,0.41819854474717594
2021-04-11,US,Bitcoin,60,US,USA,United States,Americas,-77.0369,38.9072,59846.23046875,60790.5546875,59289.796875,60204.96484375,46280252580,0.006885903949730876,0.006862304387402612,0.02550131005099725,0.030386858118798026,4.741567320491928e-05,0.43095006507724337
2021-04-18,US,Bitcoin,75,US,USA,United States,Americas,-77.0369,38.9072,60701.88671875,61057.45703125,52829.53515625,56216.18359375,97468872758,-0.0736215468265391,-0.07647243109811933,0.0398306243520059,0.029999037287087863,0.005420132157132289,0.3957850567414089
2021-04-25,US,Bitcoin,52,US,USA,United States,Americas,-77.0369,38.9072,50052.83203125,50506.01953125,47159.484375,49004.25390625,46117114240,-0.02091099195802515,-0.02113272327896639,0.01970870988437616,0.02732085940099975,0.00043726958466859246,0.33220484221387875
2021-05-02,US,Bitcoin,51,US,USA,United States,Americas,-77.0369,38.9072,57825.86328125,57902.59375,56141.90625,56631.078125,38177405335,-0.020698824187899145,-0.020916047590224387,0.049329078909966365,0.036314623564232526,0.0004284413227615587,0.39944275786249656
2021-05-09,US,Bitcoin,66,US,USA,United States,Americas,-77.0369,38.9072,58877.390625,59210.8828125,56482.00390625,58232.31640625,65906690347,-0.009718099130935132,-0.009765628034028508,0.04421739252394137,0.03965432218416416,9.444145071868216e-05,0.41355923955920865
2021-05-16,US,Bitcoin,100,US,USA,United States,Americas,-77.0369,38.9072,46716.63671875,49720.04296875,43963.3515625,46456.05859375,64047871555,-0.0065040138312105755,-0.006525257090234029,0.05361622692316514,0.04626280846536953,4.230219591657847e-05,0.3097400080228845
2021-05-23,US,Bitcoin,71,US,USA,United States,Americas,-77.0369,38.9072,37531.44921875,38289.21875,31227.33984375,34770.58203125,78469274361,-0.0736893688644572,-0.07654564579833298,0.07769016087232193,0.057841188112822656,0.005430123083642035,0.20672110200277843
2021-05-30,US,Bitcoin,49,US,USA,United States,Americas,-77.0369,38.9072,34607.40625,36400.66796875,33520.73828125,35678.12890625,31646080921,0.03068120125307594,0.030219944078986264,0.05865429800752609,0.05785093585034898,0.0009413361103317487,0.21472201542076433
2021-06-06,US,Bitcoin,55,US,USA,United States,Americas,-77.0369,38.9072,35538.609375,36436.421875,35304.578125,35862.37890625,28913440585,0.008731498936251025,0.008693599850188834,0.04041670376993443,0.05741323262341856,7.623907367375278e-05,0.21634635939447247
2021-06-13,US,Bitcoin,44,US,USA,United States,Americas,-77.0369,38.9072,35555.7890625,39322.78125,34864.109375,39097.859375,40669112838,0.09972131894675185,0.09505680129465752,0.06936740322067805,0.061597145213587105,0.00994434145247981,0.2448702845041845
2021-06-20,US,Bitcoin,51,US,USA,United States,Americas,-77.0369,38.9072,35563.140625,36059.484375,33432.07421875,35698.296875,36664034054,0.002314299179515533,0.0023116253137915738,0.03158315249243153,0.05034609604469082,5.35598069230627e-06,0.21489981579254722
2021-06-27,US,Bitcoin,35,US,USA,United States,Americas,-77.0369,38.9072,32287.5234375,34656.12890625,32071.7578125,34649.64453125,35511640894,0.07653470332064805,0.0737472744793095,0.06987706609569908,0.05199410312708588,0.005857560812379615,0.20565491964554464
2021-07-04,US,Bitcoin,31,US,USA,United States,Americas,-77.0369,38.9072,34665.56640625,35937.56640625,34396.4765625,35287.78125,24924307911,0.017861561294527206,0.017703918010918158,0.028662250468507008,0.05021165617106387,0.0003190353718781524,0.21128071901327028
2021-07-11,US,Bitcoin,29,US,USA,United States,Americas,-77.0369,38.9072,33509.078125,34584.703125,33346.73828125,34240.1875,20108729370,0.021469475378479208,0.021242252673874872,0.02670136015688426,0.044680756553101976,0.00046093837302712496,0.20204515540563495
2021-07-18,US,Bitcoin,34,US,USA,United States,Americas,-77.0369,38.9072,31533.884765625,32398.99609375,31215.4921875,31796.810546875,18787986667,0.008363987433579023,0.008329203113175575,0.016653635126878095,0.03752821156582525,6.995628578906782e-05,0.18050439758036527
2021-07-25,US,Bitcoin,39,US,USA,United States,Americas,-77.0369,38.9072,34290.29296875,35364.92578125,33881.8359375,35350.1875,20856685287,0.030844758309330533,0.030378619797658737,0.03917036868657121,0.03130021795964653,0.000951399115161015,0.21183089114954828
2021-08-01,US,Bitcoin,30,US,USA,United States,Americas,-77.0369,38.9072,41460.84375,42541.6796875,39540.94140625,39974.89453125,26688438115,-0.039669750474507826,-0.04047804375571393,0.038683861114715126,0.03155874687542001,0.0015736891027097139,0.2526022072764225
2021-08-08,US,Bitcoin,37,US,USA,United States,Americas,-77.0369,38.9072,44574.4375,45282.3515625,43331.91015625,43798.1171875,36302664750,-0.017005273846830926,-0.017151523902089738,0.03303500327401424,0.03247009561360502,0.00028917933860571186,0.2863076546675981
2021-08-15,US,Bitcoin,31,US,USA,United States,Americas,-77.0369,38.9072,47096.66796875,47357.10546875,45579.58984375,47047.00390625,30988958446,-0.0010603958689597848,-0.0010609584864258955,0.03976176045548519,0.03453325284696871,1.124439398906977e-06,0.3149497689843523
2021-08-22,US,Bitcoin,31,US,USA,United States,Americas,-77.0369,38.9072,48869.10546875,49471.609375,48199.94140625,49321.65234375,25370975378,0.00850947690403503,0.008473475397263706,0.031813140305314055,0.033183812183053364,7.24111971803056e-05,0.33500301990298326
2021-08-29,US,Bitcoin,26,US,USA,United States,Americas,-77.0369,38.9072,48911.25,49644.11328125,47925.85546875,48829.83203125,25889650240,-0.0014839825657210204,-0.0014850847584068098,0.03116973920959195,0.03288178685397659,2.2022042553639427e-06,0.3306671427754032
2021-09-05,US,Bitcoin,40,US,USA,United States,Americas,-77.0369,38.9072,49937.859375,51868.6796875,49538.59765625,51753.41015625,30322676319,0.03621581213694158,0.035575435016673145,0.024794698368811964,0.030714408766887868,0.0013115850487382453,0.35644134363840824
2021-09-12,US,Bitcoin,27,US,USA,United States,Americas,-77.0369,38.9072,45206.62890625,46364.87890625,44790.4609375,46063.26953125,27881980161,0.019066033632592516,0.01888655452823882,0.04579386092964948,0.032669593613798745,0.000363513638479149,0.30627718823124084
2021-09-19,US,Bitcoin,35,US,USA,United States,Americas,-77.0369,38.9072,48268.85546875,48328.3671875,46919.8046875,47260.21875,26967722648,-0.021089044077959085,-0.021314594702563614,0.0268252779045116,0.03155166029392226,0.00044474778012210114,0.3168294663876111
2021-09-26,US,Bitcoin,28,US,USA,United States,Americas,-77.0369,38.9072,42721.62890625,43919.30078125,40848.4609375,43208.5390625,30661222077,0.011516492054097771,0.011450682044497961,0.055544823524147996,0.03804363845605811,0.0001326295892320971,0.28110994680125406
2021-10-03,US,Bitcoin,35,US,USA,United States,Americas,-77.0369,38.9072,47680.02734375,49130.69140625,47157.2890625,48199.953125,26638115879,0.010237887379882071,0.010185835179136425,0.04538828195645109,0.043039290094543166,0.00010481433800314859,0.3251141441022251
2021-10-10,US,Bitcoin,40,US,USA,United States,Americas,-77.0369,38.9072,54952.8203125,56401.3046875,54264.2578125,54771.578125,39527792364,-0.003577422040362044,-0.003583836316874845,0.03410105117060263,0.03998847759440431,1.2797948454868129e-05,0.3830494464969048
2021-10-17,US,Bitcoin,53,US,USA,United States,Americas,-77.0369,38.9072,60887.65234375,61645.5234375,59164.46875,61553.6171875,29032367511,0.01086243756414218,0.010803865067540788,0.03506307244166909,0.041835159697213964,0.0001179925498348871,0.44283975466854686
2021-10-24,US,Bitcoin,45,US,USA,United States,Americas,-77.0369,38.9072,61368.34375,61505.8046875,59643.34375,60930.8359375,27316183882,-0.007537937512081094,-0.007566491344887265,0.032010255508113254,0.034712788396632506,5.682050193603932e-05,0.43734932877776844
2021-10-31,US,Bitcoin,37,US,USA,United States,Americas,-77.0369,38.9072,61850.48828125,62406.171875,60074.328125,61318.95703125,32241199927,-0.009208042570786446,-0.009250698649359285,0.031920860520929316,0.03173178044370149,8.478804798541545e-05,0.4407709958589181
2021-11-07,US,Bitcoin,42,US,USA,United States,Americas,-77.0369,38.9072,61554.921875,63326.98828125,61432.48828125,63326.98828125,24726754302,0.029247220896912562,0.028827681539784322,0.021274332745184935,0.028770428853778084,0.0008553999301927988,0.4584737554787559
2021-11-14,US,Bitcoin,41,US,USA,United States,Americas,-77.0369,38.9072,64455.37109375,65495.1796875,63647.80859375,65466.83984375,25122092191,0.015469517787564335,0.015351084638069591,0.03070945641563142,0.026961034039787127,0.00023930598057976936,0.4773386400930127
2021-11-21,US,Bitcoin,37,US,USA,United States,Americas,-77.0369,38.9072,59730.5078125,60004.42578125,58618.9296875,58730.4765625,26123447605,-0.01619370466132397,-0.016326255638854346,0.03369373066148132,0.028398962595292877,0.0002622360706581857,0.41795100861074835
2021-11-28,US,Bitcoin,39,US,USA,United States,Americas,-77.0369,38.9072,54813.0234375,57393.84375,53576.734375,57248.45703125,28116886357,0.044392510044424904,0.043435386277887976,0.04019260491361293,0.03039509184050407,0.001970694948044366,0.4048855568088287
2021-12-05,US,Bitcoin,42,US,USA,United States,Americas,-77.0369,38.9072,49201.51953125,49768.1484375,47857.49609375,49368.84765625,37198201161,0.003417522933012007,0.003411696472447897,0.033911051631558074,0.03393705598093309,1.1679462997662991e-05,0.3354190927466557
2021-12-12,US,Bitcoin,37,US,USA,United States,Americas,-77.0369,38.9072,49354.85546875,50724.8671875,48725.8515625,50098.3359375,21939223599,0.014906619570362878,0.014796607838164322,0.03173016267572421,0.0334904159694608,0.00022220730701552556,0.3418502454931368
2021-12-19,US,Bitcoin,33,US,USA,United States,Americas,-77.0369,38.9072,46853.8671875,48089.6640625,46502.953125,46707.015625,25154053861,-0.0030259427628138713,-0.0030305301841360094,0.03668397678621002,0.03424378087743333,9.156329603825644e-06,0.31195243972638853
2021-12-26,US,Bitcoin,34,US,USA,United States,Americas,-77.0369,38.9072,50428.69140625,51196.37890625,49623.10546875,50809.515625,20964372926,0.0075284019171428795,0.007500204929835927,0.022358334685498703,0.032757983222044505,5.6676835426040586e-05,0.34811999007720335
2022-01-02,US,Bitcoin,39,US,USA,United States,Americas,-77.0369,38.9072,47680.92578125,47881.40625,46856.9375,47345.21875,27951569547,-0.007163274962024402,-0.007189054400021723,0.02914560959274635,0.03266392222871624,5.1312508181565696e-05,0.317578824530163
